optimus_id,vh08p,vh08g,vh10g,degree_known,married,vote_prob,vote
861681,0,1,1,1,1,0.9654437697137235,1
167371,1,1,1,0,0,0.9585128806983041,1
974034,0,1,0,1,0,0.8388910504234147,1
660415,0,0,0,0,1,0.4850044983805899,0
313964,0,0,1,0,0,0.6318124177361016,1
720804,0,0,1,1,1,0.8292045179776255,1
960468,0,0,0,0,0,0.3543436937742045,0
588688,0,0,1,1,1,0.8292045179776255,1
548469,0,0,0,1,0,0.47502081252106,0
411609,1,1,1,0,1,0.9753975715972606,1
234208,0,0,0,0,0,0.3543436937742045,0
597777,0,0,0,1,1,0.6082590307465144,1
274336,1,0,1,1,1,0.9190865327845347,1
198876,0,0,0,1,0,0.47502081252106,0
14339,0,0,0,1,1,0.6082590307465144,1
179933,0,1,1,1,1,0.9654437697137235,1
564484,0,0,0,1,0,0.47502081252106,0
11866,0,0,1,1,0,0.738850006084249,1
200686,0,0,0,1,0,0.47502081252106,0
58953,0,1,1,0,0,0.9080454500689956,1
362076,0,0,0,0,0,0.3543436937742045,0
421768,0,0,0,0,0,0.3543436937742045,0
966514,0,0,0,0,1,0.4850044983805899,0
1064390,1,1,1,1,1,0.9849320101894071,1
838230,0,0,0,1,1,0.6082590307465144,1
420837,0,0,0,1,0,0.47502081252106,0
1082391,0,1,1,0,1,0.9442756020713345,1
311035,0,0,0,0,0,0.3543436937742045,0
363704,0,1,1,1,0,0.942133044723639,1
42840,1,1,1,1,0,0.9744192116879923,1
799729,1,1,1,1,1,0.9849320101894071,1
583915,0,1,1,1,1,0.9654437697137235,1
308032,0,0,0,1,0,0.47502081252106,0
168505,0,0,1,0,1,0.7464939833376621,1
735259,0,0,0,1,0,0.47502081252106,0
66912,0,1,1,1,0,0.942133044723639,1
662823,0,1,1,0,0,0.9080454500689956,1
1019730,0,0,1,0,0,0.6318124177361016,1
61697,0,0,0,0,1,0.4850044983805899,0
741505,0,0,0,1,0,0.47502081252106,0
132125,0,1,1,1,0,0.942133044723639,1
600740,0,1,1,1,0,0.942133044723639,1
202936,0,0,0,1,1,0.6082590307465144,1
449898,0,0,0,0,0,0.3543436937742045,0
27820,0,0,0,1,0,0.47502081252106,0
243999,0,1,1,1,0,0.942133044723639,1
61526,0,1,1,1,1,0.9654437697137235,1
711608,1,1,1,1,1,0.9849320101894071,1
1099236,1,1,1,1,1,0.9849320101894071,1
1023858,0,1,1,1,0,0.942133044723639,1
753700,0,0,0,1,0,0.47502081252106,0
142804,0,1,1,0,1,0.9442756020713345,1
546853,0,0,0,0,0,0.3543436937742045,0
747099,1,1,1,0,0,0.9585128806983041,1
692258,0,0,0,0,0,0.3543436937742045,0
172373,1,1,1,1,1,0.9849320101894071,1
854958,1,1,1,1,1,0.9849320101894071,1
943670,0,0,0,1,0,0.47502081252106,0
720210,1,1,1,0,1,0.9753975715972606,1
75620,0,0,0,1,0,0.47502081252106,0
34894,1,1,1,1,0,0.9744192116879923,1
1030349,0,0,1,1,1,0.8292045179776255,1
1012764,1,1,1,0,1,0.9753975715972606,1
945461,0,0,0,1,0,0.47502081252106,0
396369,0,0,1,0,0,0.6318124177361016,1
1072971,1,1,1,1,1,0.9849320101894071,1
1021885,0,0,1,0,1,0.7464939833376621,1
50902,0,1,1,1,1,0.9654437697137235,1
566310,0,0,0,0,1,0.4850044983805899,0
595403,0,1,1,0,0,0.9080454500689956,1
849434,0,0,0,0,1,0.4850044983805899,0
169226,0,0,0,0,1,0.4850044983805899,0
719325,0,0,0,1,1,0.6082590307465144,1
717194,1,1,1,1,1,0.9849320101894071,1
171279,0,0,0,1,0,0.47502081252106,0
124045,0,1,1,1,0,0.942133044723639,1
335951,0,1,1,0,0,0.9080454500689956,1
133914,0,0,0,0,0,0.3543436937742045,0
731305,0,0,1,1,0,0.738850006084249,1
1029373,0,0,0,1,0,0.47502081252106,0
329879,0,0,1,1,1,0.8292045179776255,1
108075,0,0,0,0,0,0.3543436937742045,0
362305,1,0,1,0,1,0.8732494198778592,1
814191,0,0,0,1,1,0.6082590307465144,1
557319,0,1,0,0,0,0.7595109169491111,1
805034,0,1,1,1,1,0.9654437697137235,1
374348,0,0,0,0,0,0.3543436937742045,0
1031430,1,1,1,1,1,0.9849320101894071,1
776516,0,0,0,1,1,0.6082590307465144,1
1071391,0,0,0,1,0,0.47502081252106,0
1098061,0,1,0,1,1,0.8993479064358931,1
817707,1,1,1,1,0,0.9744192116879923,1
1052224,0,1,1,1,1,0.9654437697137235,1
1003000,0,0,0,1,0,0.47502081252106,0
304427,0,0,0,0,0,0.3543436937742045,0
261257,1,1,1,1,0,0.9744192116879923,1
79611,1,1,1,0,1,0.9753975715972606,1
857371,1,1,0,1,1,0.9543488292155563,1
786722,0,0,0,1,0,0.47502081252106,0
114075,0,1,1,1,1,0.9654437697137235,1
975656,0,0,0,0,0,0.3543436937742045,0
823548,0,0,0,0,0,0.3543436937742045,0
39346,0,1,1,1,0,0.942133044723639,1
1095531,0,0,0,1,0,0.47502081252106,0
369137,0,0,0,1,0,0.47502081252106,0
544259,0,0,0,1,0,0.47502081252106,0
681863,0,1,1,1,0,0.942133044723639,1
863795,0,1,1,0,0,0.9080454500689956,1
180157,0,0,0,1,0,0.47502081252106,0
266388,0,0,0,1,1,0.6082590307465144,1
263715,0,0,0,1,1,0.6082590307465144,1
219864,0,0,0,0,0,0.3543436937742045,0
241693,0,1,1,1,0,0.942133044723639,1
69596,0,1,1,0,0,0.9080454500689956,1
144650,0,0,1,1,0,0.738850006084249,1
572857,0,0,0,0,0,0.3543436937742045,0
409348,0,0,0,1,0,0.47502081252106,0
881743,0,0,1,1,1,0.8292045179776255,1
135200,0,1,1,1,0,0.942133044723639,1
504919,0,0,0,1,0,0.47502081252106,0
205472,0,1,0,1,0,0.8388910504234147,1
550698,0,0,0,1,0,0.47502081252106,0
601455,0,0,1,1,0,0.738850006084249,1
425254,0,0,0,0,0,0.3543436937742045,0
310517,0,0,0,1,0,0.47502081252106,0
147761,0,0,0,0,0,0.3543436937742045,0
985215,1,1,1,1,1,0.9849320101894071,1
560834,1,1,1,1,0,0.9744192116879923,1
508286,0,0,0,0,0,0.3543436937742045,0
843371,0,0,0,0,1,0.4850044983805899,0
339844,0,0,0,1,1,0.6082590307465144,1
234216,0,0,0,0,0,0.3543436937742045,0
358687,0,1,0,1,0,0.8388910504234147,1
892367,0,1,1,1,0,0.942133044723639,1
346030,0,0,1,0,0,0.6318124177361016,1
554147,0,0,0,1,1,0.6082590307465144,1
728493,0,0,0,1,0,0.47502081252106,0
988617,0,0,0,1,0,0.47502081252106,0
932979,0,0,0,1,0,0.47502081252106,0
24387,0,0,0,0,0,0.3543436937742045,0
162972,0,0,0,1,1,0.6082590307465144,1
235265,0,0,1,0,0,0.6318124177361016,1
174411,0,1,1,0,1,0.9442756020713345,1
852045,0,0,0,0,0,0.3543436937742045,0
302093,1,1,1,1,1,0.9849320101894071,1
43227,0,1,0,0,1,0.8442241598762525,1
88191,0,1,1,0,0,0.9080454500689956,1
